date,consumer_sentiment,core_pce_inf,unemployment,cbo_unemployment,core_pce_real,interest
1999-04-01,-4.1000000000000085,1.687027341477612,4.3,5.03,5.846129945174704,4.74
1999-05-01,0.29999999999999716,1.5880701074852364,4.2,,5.635909230288562,4.74
1999-06-01,1.7000000000000028,1.6364868790548988,4.3,,5.425897482315806,4.76
1999-07-01,0.7999999999999972,1.5552550231839277,4.3,5.03,5.320682015766584,4.99
1999-08-01,0.09999999999999432,1.3979946008484312,4.2,,5.530275412812886,5.07
1999-09-01,6.299999999999997,1.609018209846787,4.2,,5.2161972121795115,5.22
1999-10-01,5.799999999999997,1.6062325670866406,4.1,5.02,4.9024312165169395,5.2
1999-11-01,4.5,1.5665545410859951,4.1,,5.320369189491109,5.42
1999-12-01,4.900000000000006,1.370913622854908,4.1,,5.529545692350078,5.3
2000-01-01,8.099999999999994,1.3673742589404805,4.0,5.01,6.058781127116136,5.45
2000-02-01,3.200000000000003,1.5965583173995628,4.1,,6.4804860222537854,5.73
2000-03-01,1.3999999999999915,1.8456536291478742,4.1,,6.905134022342531,5.85
2000-04-01,4.6000000000000085,1.7067124332569956,3.9,5.01,5.948726262699294,6.02
2000-05-01,3.9000000000000057,1.7348203221808824,4.1,,5.843304644527449,6.27
2000-06-01,-0.8999999999999915,1.6768292682926573,4.0,,5.5270397900119255,6.53
2000-07-01,2.299999999999997,1.6836458367233789,4.0,5.01,5.632461408183783,6.54
2000-08-01,2.799999999999997,1.7876514595954471,4.1,,5.422665059806062,6.5
2000-09-01,-0.4000000000000057,1.74489537256333,3.9,,5.842257756561513,6.52
2000-10-01,2.5999999999999943,1.7609783521662767,3.9,5.0,5.5256807144182645,6.51
2000-11-01,0.3999999999999915,1.959643346177399,4.0,,4.688175311922886,6.51
2000-12-01,-7.0,2.053484432873715,4.0,,3.961894611047321,6.4
2001-01-01,-17.299999999999997,2.1154233063761736,4.2,5.0,4.169403382726047,5.98
2001-02-01,-20.700000000000003,2.111320423717031,4.2,,3.3442991975163348,5.49
2001-03-01,-15.599999999999994,2.041608015516831,4.3,,2.4206659375584048,5.31
2001-04-01,-20.799999999999997,2.067282934183336,4.5,5.0,2.8315813475385623,4.8
2001-05-01,-18.700000000000003,1.944000203335652,4.4,,2.8315813475385743,4.21
2001-06-01,-13.800000000000011,2.1695957682891422,4.5,,2.934310200033635,3.97
2001-07-01,-15.899999999999991,2.2227256621913623,4.5,5.0,2.7288524950435376,3.77
2001-08-01,-15.799999999999997,2.1357248004129175,4.9,,2.9332880223968503,3.65
2001-09-01,-25.0,0.9810196324687327,4.9,,0.7909698375897867,3.07
2001-10-01,-23.099999999999994,1.9689441847419977,5.4,5.0,3.512326023204706,2.49
2001-11-01,-23.69999999999999,1.8807165500690548,5.7,,3.0982767191118796,2.09
2001-12-01,-9.600000000000009,1.7292773578727456,5.8,,2.5838142604336682,1.82
2002-01-01,-1.7000000000000028,1.4642598958850719,5.6,5.0,2.685989374238869,1.73
2002-02-01,0.10000000000000853,1.3125145126055933,5.5,,2.8909514288780724,1.74
2002-03-01,4.200000000000003,1.227387736252813,5.7,,2.9940485745984007,1.73
2002-04-01,4.599999999999994,1.2523480209515871,6.0,5.0,3.6113955191015057,1.75
2002-05-01,4.900000000000006,1.2994151848408655,5.8,,2.4762109068404348,1.75
2002-06-01,-0.19999999999998863,1.1676633705852153,5.9,,2.8852975771272233,1.75
2002-07-01,-4.300000000000011,1.0910504889204173,5.9,5.0,3.502609362589982,1.73
